iter	Passed	Remaining
0	2	211
1	3	166
2	5	163
3	6	153
4	8	155
5	9	146
6	10	141
7	11	136
8	13	134
9	15	139
10	17	138
11	18	135
12	20	134
13	21	134
14	23	131
15	24	128
16	25	124
17	26	122
18	28	119
19	29	119
20	31	118
21	32	116
22	34	114
23	35	113
24	37	111
25	38	109
26	39	107
27	40	105
28	42	103
29	43	101
30	46	102
31	47	100
32	49	100
33	51	99
34	52	97
35	53	95
36	55	93
37	56	91
38	57	89
39	58	88
40	60	87
41	61	85
42	63	83
43	64	82
44	65	80
45	67	79
46	68	77
47	69	75
48	71	73
49	72	72
50	73	70
51	75	69
52	77	68
53	78	66
54	79	64
55	80	63
56	81	61
57	83	60
58	84	58
59	85	57
60	86	55
61	88	54
62	89	52
63	92	51
64	93	50
65	95	49
66	96	47
67	98	46
68	99	44
69	100	43
70	101	41
71	102	39
72	104	38
73	105	37
74	107	35
75	108	34
76	109	32
77	111	31
78	112	29
79	114	28
80	115	27
81	117	25
82	118	24
83	120	22
84	122	21
85	124	20
86	125	18
87	126	17
88	128	15
89	129	14
90	130	12
91	132	11
92	133	10
93	135	8
94	136	7
95	138	5
96	139	4
97	140	2
98	141	1
99	143	0
