iter	Passed	Remaining
0	149	149611
1	152	76075
2	154	51234
3	155	38796
4	157	31365
5	159	26403
6	161	22850
7	163	20212
8	165	18184
9	167	16539
10	168	15173
11	170	14047
12	172	13100
13	174	12270
14	175	11545
15	177	10916
16	179	10354
17	180	9871
18	182	9423
19	184	9019
20	185	8652
21	187	8316
22	188	8024
23	190	7743
24	192	7489
25	193	7244
26	195	7033
27	196	6826
28	198	6631
29	199	6440
30	200	6261
31	201	6094
32	202	5939
33	203	5794
34	205	5659
35	206	5533
36	207	5412
37	209	5302
38	210	5198
39	212	5090
40	213	4988
41	214	4890
42	215	4797
43	217	4721
44	219	4658
45	220	4579
46	222	4502
47	223	4434
48	225	4374
49	226	4305
50	227	4240
51	229	4177
52	230	4124
53	232	4064
54	233	4007
55	234	3953
56	235	3902
57	237	3852
58	238	3805
59	240	3763
60	241	3715
61	242	3669
62	243	3625
63	245	3586
64	246	3547
65	247	3508
66	249	3471
67	250	3435
68	251	3399
69	253	3364
70	254	3333
71	256	3299
72	257	3266
73	258	3233
74	259	3203
75	261	3173
76	262	3144
77	263	3116
78	265	3089
79	266	3061
80	267	3034
81	268	3008
82	269	2979
83	270	2954
84	272	2929
85	273	2905
86	274	2881
87	275	2860
88	277	2839
89	278	2817
90	279	2796
91	281	2776
92	282	2756
93	284	2738
94	285	2718
95	286	2699
96	288	2682
97	289	2666
98	291	2652
99	292	2636
100	294	2620
101	295	2605
102	297	2589
103	298	2574
104	300	2559
105	301	2543
106	302	2527
107	304	2511
108	305	2496
109	306	2482
110	308	2467
111	309	2453
112	310	2439
113	312	2426
114	313	2413
115	315	2401
116	316	2384
117	317	2370
118	318	2357
119	319	2343
120	320	2331
121	322	2318
122	323	2307
123	325	2296
124	326	2285
125	327	2273
126	328	2260
127	330	2252
128	331	2241
129	333	2229
130	334	2217
131	335	2206
132	336	2196
133	338	2186
134	339	2175
135	340	2164
136	341	2153
137	343	2143
138	344	2134
139	346	2125
140	347	2116
141	348	2103
142	349	2094
143	350	2085
144	352	2076
145	353	2068
146	354	2059
147	356	2050
148	357	2041
149	374	2120
150	375	2113
151	377	2104
152	378	2095
153	379	2085
154	380	2075
155	382	2067
156	383	2058
157	384	2050
158	386	2042
159	387	2034
160	388	2025
161	391	2025
162	393	2018
163	394	2011
164	396	2004
165	397	1999
166	399	1991
167	400	1983
168	401	1975
169	403	1969
170	404	1961
171	406	1956
172	407	1949
173	408	1941
174	410	1933
175	411	1926
176	412	1919
177	414	1912
178	415	1905
179	416	1899
180	418	1891
181	419	1884
182	420	1878
183	422	1872
184	423	1865
185	424	1858
186	425	1851
187	427	1844
188	428	1838
189	429	1832
190	431	1826
191	432	1820
192	434	1814
193	436	1813
194	437	1807
195	439	1801
196	440	1795
197	441	1789
198	443	1783
199	444	1777
200	445	1770
201	446	1764
202	447	1758
203	449	1752
204	450	1747
205	451	1741
206	453	1737
207	454	1731
208	455	1725
209	457	1719
210	458	1714
211	459	1709
212	460	1703
213	462	1697
214	463	1691
215	464	1686
216	466	1682
217	467	1677
218	468	1671
219	469	1665
220	471	1660
221	472	1655
222	473	1651
223	475	1647
224	476	1642
225	478	1637
226	479	1632
227	481	1628
228	482	1624
229	483	1619
230	484	1614
231	486	1609
232	487	1604
233	488	1600
234	490	1596
235	491	1591
236	493	1587
237	494	1582
238	495	1578
239	497	1574
240	498	1570
241	499	1565
242	501	1561
243	502	1557
244	505	1557
245	506	1553
246	508	1548
247	509	1544
248	510	1539
249	511	1534
250	512	1530
251	514	1525
252	515	1521
253	516	1516
254	517	1512
255	519	1509
256	520	1505
257	522	1502
258	523	1498
259	524	1493
260	526	1489
261	527	1485
262	528	1482
263	530	1478
264	531	1474
265	532	1470
266	534	1466
267	535	1462
268	536	1458
269	538	1455
270	539	1451
271	541	1448
272	542	1444
273	543	1440
274	544	1436
275	546	1432
276	547	1428
277	549	1427
278	550	1423
279	552	1419
280	553	1415
281	554	1411
282	555	1408
283	556	1404
284	558	1400
285	559	1396
286	560	1393
287	562	1389
288	563	1386
289	564	1383
290	566	1379
291	567	1375
292	568	1372
293	569	1368
294	571	1364
295	572	1361
296	573	1357
297	574	1354
298	576	1351
299	577	1347
300	578	1344
301	580	1341
302	581	1337
303	582	1333
304	583	1330
305	585	1327
306	586	1323
307	587	1320
308	589	1317
309	590	1314
310	591	1310
311	592	1307
312	594	1304
313	595	1301
314	597	1298
315	598	1294
316	599	1291
317	600	1288
318	602	1285
319	603	1281
320	604	1278
321	605	1275
322	607	1272
323	608	1268
324	609	1265
325	610	1263
326	612	1259
327	613	1256
328	614	1253
329	615	1250
330	617	1247
331	618	1245
332	620	1242
333	621	1238
334	622	1235
335	624	1233
336	625	1230
337	626	1227
338	627	1224
339	629	1221
340	630	1218
341	631	1215
342	633	1212
343	634	1209
344	635	1206
345	636	1203
346	637	1200
347	639	1197
348	640	1194
349	641	1191
350	642	1188
351	644	1185
352	645	1182
353	646	1180
354	647	1177
355	649	1174
356	650	1171
357	651	1168
358	652	1165
359	654	1163
360	655	1160
361	656	1157
362	657	1154
363	659	1151
364	660	1149
365	661	1146
366	663	1143
367	664	1141
368	665	1138
369	667	1135
370	668	1133
371	669	1130
372	671	1128
373	672	1125
374	673	1122
375	674	1119
376	675	1117
377	677	1114
378	678	1111
379	679	1109
380	681	1106
381	682	1104
382	684	1102
383	685	1099
384	686	1097
385	687	1094
386	689	1091
387	690	1089
388	691	1086
389	693	1084
390	694	1081
391	695	1079
392	696	1076
393	698	1073
394	699	1071
395	700	1069
396	702	1066
397	703	1063
398	704	1061
399	705	1058
400	707	1056
401	708	1054
402	709	1051
403	711	1049
404	712	1046
405	713	1044
406	715	1042
407	716	1039
408	717	1037
409	718	1034
410	720	1032
411	721	1029
412	722	1027
413	724	1025
414	725	1022
415	726	1020
416	728	1017
417	729	1015
418	730	1013
419	731	1010
420	733	1008
421	734	1005
422	735	1003
423	736	1000
424	738	998
425	739	996
426	740	994
427	742	991
428	743	989
429	744	987
430	746	984
431	747	982
432	748	980
433	749	977
434	750	975
435	752	973
436	753	971
437	755	969
438	756	966
439	757	964
440	759	962
441	760	960
442	761	957
443	762	955
444	764	953
445	765	950
446	766	948
447	767	946
448	769	944
449	770	942
450	772	940
451	773	938
452	776	937
453	777	934
454	778	932
455	779	930
456	780	927
457	782	925
458	783	923
459	785	921
460	786	919
461	787	917
462	788	914
463	790	912
464	791	910
465	792	908
466	793	905
467	795	903
468	796	901
469	797	899
470	799	897
471	800	895
472	801	893
473	803	891
474	804	888
475	805	887
476	806	884
477	808	882
478	809	880
479	810	878
480	812	876
481	813	874
482	814	872
483	816	869
484	817	867
485	818	865
486	820	863
487	821	861
488	822	859
489	824	857
490	825	855
491	826	853
492	828	851
493	829	849
494	830	847
495	832	845
496	833	843
497	834	841
498	836	839
499	837	837
500	838	835
501	839	832
502	840	830
503	842	828
504	843	826
505	844	824
506	846	822
507	847	820
508	848	818
509	850	817
510	851	815
511	853	813
512	854	811
513	855	808
514	856	806
515	857	804
516	859	802
517	860	800
518	861	798
519	862	796
520	864	794
521	866	793
522	867	790
523	868	788
524	869	786
525	870	784
526	872	782
527	873	780
528	874	778
529	876	776
530	877	774
531	878	772
532	879	770
533	881	769
534	882	766
535	883	764
536	884	762
537	885	760
538	887	758
539	888	756
540	889	754
541	890	752
542	892	751
543	894	749
544	896	748
545	897	746
546	899	744
547	900	742
548	902	741
549	903	739
550	904	737
551	905	735
552	906	733
553	908	731
554	909	729
555	910	727
556	912	725
557	913	723
558	915	721
559	916	720
560	918	718
561	919	716
562	920	714
563	921	712
564	923	710
565	924	708
566	925	707
567	927	705
568	928	703
569	929	701
570	931	699
571	932	697
572	933	695
573	934	693
574	936	692
575	937	690
576	938	688
577	940	686
578	941	684
579	943	682
580	944	681
581	945	679
582	946	677
583	948	675
584	949	673
585	950	671
586	951	669
587	953	667
588	954	666
589	956	664
590	957	662
591	959	661
592	960	659
593	961	657
594	963	655
595	964	653
596	966	652
597	967	650
598	969	648
599	970	647
600	972	645
601	973	643
602	974	641
603	976	639
604	977	638
605	978	636
606	979	634
607	980	632
608	982	630
609	983	628
610	985	627
611	986	625
612	988	623
613	989	622
614	990	620
615	991	618
616	993	616
617	994	614
618	996	613
619	997	611
620	998	609
621	999	607
622	1001	605
623	1002	603
624	1003	602
625	1004	600
626	1005	598
627	1007	596
628	1008	594
629	1009	593
630	1011	591
631	1012	589
632	1013	587
633	1015	585
634	1016	584
635	1017	582
636	1018	580
637	1019	578
638	1020	576
639	1022	574
640	1023	573
641	1024	571
642	1025	569
643	1027	567
644	1028	566
645	1029	564
646	1031	562
647	1032	560
648	1033	558
649	1034	557
650	1035	555
651	1037	553
652	1038	551
653	1039	550
654	1041	548
655	1042	546
656	1043	544
657	1045	543
658	1047	541
659	1048	540
660	1049	538
661	1050	536
662	1052	534
663	1053	533
664	1055	531
665	1056	529
666	1057	528
667	1058	526
668	1060	524
669	1061	523
670	1063	521
671	1064	519
672	1065	517
673	1066	516
674	1068	514
675	1069	512
676	1070	510
677	1071	509
678	1073	507
679	1074	505
680	1076	504
681	1077	502
682	1078	500
683	1079	498
684	1081	497
685	1082	495
686	1083	493
687	1085	492
688	1086	490
689	1087	488
690	1089	487
691	1091	485
692	1092	483
693	1093	482
694	1094	480
695	1095	478
696	1097	477
697	1098	475
698	1099	473
699	1101	471
700	1102	470
701	1103	468
702	1105	467
703	1106	465
704	1107	463
705	1109	461
706	1110	460
707	1111	458
708	1112	456
709	1114	455
710	1115	453
711	1117	451
712	1118	450
713	1120	448
714	1121	446
715	1122	445
716	1123	443
717	1124	441
718	1126	440
719	1127	438
720	1128	436
721	1129	435
722	1131	433
723	1132	431
